threshold,percent_replaced,delta_total,delta_per_100
-0.2,0.9438827098078868,3932.6214373086914,22.090896738055786
-0.17586206896551726,0.9351196494775867,3962.0028002137915,22.25594203018645
-0.1517241379310345,0.9250084260195484,3991.352090768516,22.42080716081629
-0.12758620689655173,0.9130996517245253,4020.9208963116,22.586905383168183
-0.10344827586206898,0.9004044489383215,4046.581112014748,22.731047702588185
-0.07931034482758623,0.8852937872149197,4071.0043687075377,22.868241594806975
-0.05517241379310345,0.8705201662734524,4088.7658691108227,22.96801409454456
-0.031034482758620696,0.8544545556679025,4100.956232962511,23.036491590621903
-0.006896551724137945,0.8383327715986968,4106.27984284858,23.066396151267163
0.017241379310344807,0.8214245590383104,4104.593675918877,23.05692436759284
0.04137931034482756,0.8026626221772835,4094.9477814137936,23.00274003715197
0.06551724137931031,0.7833389506796989,4076.546668668587,22.899374613350112
0.08965517241379312,0.762891809908999,4048.370536153514,22.741099517770554
0.11379310344827587,0.7393551286372317,4005.71215658883,22.501472624361476
0.13793103448275862,0.7123356926188069,3945.193447982274,22.16151807652103
0.16206896551724137,0.6802606448713627,3859.464276276529,21.679947625415846
0.18620689655172412,0.6438602404224244,3746.2812722846866,21.044159489297197
0.21034482758620687,0.6008875407257611,3594.3645040119663,20.19079038317024
0.23448275862068962,0.5531400966183575,3405.031144509714,19.1272393242878
0.2586206896551724,0.4959555106167846,3153.299433511991,17.713175112414287
0.2827586206896551,0.4319739355128637,2844.9849330981597,15.981265774059992
0.30689655172413793,0.35866756544208517,2460.051131660741,13.818959283567805
0.33103448275862063,0.2800808897876643,2014.2086764077358,11.314507787932456
0.35517241379310344,0.2144702842377261,1613.8738273133858,9.065688278358532
0.37931034482758624,0.15548814739916864,1228.6077927152292,6.901515519128351
0.40344827586206894,0.11032468261993035,914.1302880545445,5.134986451266962
0.42758620689655175,0.07476688012582856,651.4691856652498,3.659528062382035
0.45172413793103444,0.04780361757105943,440.6581456909589,2.4753294331589646
0.47586206896551725,0.032580608920346026,315.1854959179982,1.7705060999775206
0.5,0.021907650825749917,222.75672781964386,1.2513016954254794
